wikidata,name,position,nationality,birth_date,death_date,party,gender,education,state,wikipedia_url,career_start,career_end,connections,is_seed,prestigious_school,degree,community
Q27996060,Stephen Miller,Senior Advisor to the President of the United States,United States,1985-08-23,,Republican,male,Santa Monica High School,,https://en.wikipedia.org/wiki/Stephen_Miller,2017-01-20,2021-01-20,"['Q160582', 'Q1701732', 'Q358443', 'Q76', 'Q16146870', 'Q17160419', 'Q497271', 'Q4496', 'Q324546', 'Q22686', 'Q13628723', 'Q2036942', 'Q6294', 'Q1357640', 'Q27829251', 'Q331401', 'Q6232322', 'Q4773428', 'Q380900', 'Q170581', 'Q10390', 'Q11153', 'Q39609', 'Q473239', 'Q719568', 'Q1738589', 'Q7176052', 'Q3956796', 'Q6279', 'Q708241', 'Q1941306', 'Q5234544', 'Q766866', 'Q28935729', 'Q317521', 'Q7128915', 'Q16221742', 'Q465749', 'Q1655924', 'Q7786750', 'Q24313']",False,False,41.0,2.0
Q259514,Valerie Jarrett,Senior Advisor to the President of the United States,United States,1956-11-14,,Democrat,female,Stanford University,,https://en.wikipedia.org/wiki/Valerie_Jarrett,2009-01-20,2017-01-20,"['Q76', 'Q295584', 'Q539814', 'Q13133', 'Q827400', 'Q23685', 'Q289257', 'Q207', 'Q298443', 'Q1269048']",False,True,15.0,22.0
Q561284,Cedric Richmond,Senior Advisor to the President of the United States,United States,1973-09-13,,Democrat,male,Tulane University Law School,,https://en.wikipedia.org/wiki/Cedric_Richmond,1999-01-01,2022-05-18,"['Q15304910', 'Q5703668', 'Q336324', 'Q76', 'Q6386365', 'Q966261']",True,False,11.0,17.0
Q23505,George H. W. Bush,President of the United States,United States,1924-06-12,2018-11-30,Republican,male,Phillips Academy,,https://en.wikipedia.org/wiki/George_H._W._Bush,1967-01-03,1993-01-20,"['Q9960', 'Q207', 'Q9588', 'Q9582', 'Q319099', 'Q11142', 'Q1124', 'Q221997', 'Q190628', 'Q223151', 'Q319129', 'Q16012400', 'Q203433', 'Q455401', 'Q184650', 'Q319079', 'Q23685', 'Q1337643', 'Q311293', 'Q325960', 'Q936548', 'Q49216', 'Q229141', 'Q313411', 'Q357676', 'Q887489', 'Q49214', 'Q48259', 'Q239571', 'Q723444', 'Q885091', 'Q1808424', 'Q656511', 'Q212979', 'Q1209677', 'Q193635', 'Q182788', 'Q2442506', 'Q134549', 'Q368920', 'Q717401', 'Q312348', 'Q521145', 'Q19673', 'Q149127', 'Q434142', 'Q237918', 'Q744098', 'Q201430', 'Q10390', 'Q4496', 'Q76', 'Q22686', 'Q6294', 'Q13133', 'Q152019']",True,False,299.0,15.0
Q519838,David Axelrod,Senior Advisor to the President of the United States,United States,1955-02-22,,Democrat,male,Stuyvesant High School,,https://en.wikipedia.org/wiki/David_Axelrod,2009-01-20,2011-01-10,"['Q76', 'Q712134', 'Q295584', 'Q539814', 'Q217314', 'Q298443', 'Q122841', 'Q5258156', 'Q11989277', 'Q3430687', 'Q866128', 'Q721066', 'Q373606', 'Q11675', 'Q11100', 'Q6294', 'Q319111', 'Q353826', 'Q337470']",False,False,19.0,22.0
Q207,George W. Bush,President of the United States,United States,1946-07-06,,Republican,male,Harvard Business School,,https://en.wikipedia.org/wiki/George_W._Bush,1995-01-17,2009-01-20,"['Q23505', 'Q19673', 'Q22316', 'Q11153', 'Q221997', 'Q9960', 'Q3518911', 'Q1507470', 'Q1629347', 'Q887489', 'Q289257', 'Q311135', 'Q237918', 'Q10390', 'Q48259', 'Q201430', 'Q455698', 'Q193635', 'Q76', 'Q134549', 'Q733612', 'Q202350', 'Q649653', 'Q212648', 'Q223151', 'Q28591', 'Q114322', 'Q311562', 'Q310588', 'Q170581', 'Q23685', 'Q9588', 'Q4496', 'Q13133', 'Q22686', 'Q6294', 'Q152019', 'Q45380', 'Q1135774', 'Q6774492', 'Q7786750', 'Q6279', 'Q47216', 'Q10853588', 'Q28935729', 'Q57289']",True,False,679.0,15.0
Q22686,Donald Trump,President of the United States,United States,1946-06-14,,Republican,male,University of Pennsylvania,,https://en.wikipedia.org/wiki/Donald_Trump,1971-01-01,2025-01-20,"['Q6294', 'Q6279', 'Q10853588', 'Q23505', 'Q76', 'Q207', 'Q4962244', 'Q715156', 'Q317521', 'Q239411']",True,True,1003.0,5.0
Q3317069,Mitch Landrieu,Senior Advisor to the President of the United States,United States,1960-08-16,,Democrat,male,Jesuit High School,,https://en.wikipedia.org/wiki/Mitch_Landrieu,2010-05-03,2018-05-07,"['Q1946678', 'Q22338', 'Q6279', 'Q4685038', 'Q737491', 'Q880111', 'Q237786', 'Q163042', 'Q2379645', 'Q735333', 'Q6812498']",False,False,17.0,17.0
Q311135,Karl Rove,Senior Advisor to the President of the United States,United States,1950-12-25,,Republican,male,George Mason University,,https://en.wikipedia.org/wiki/Karl_Rove,2001-01-20,2007-08-31,"['Q207', 'Q311141', 'Q545307', 'Q719568', 'Q215057', 'Q2613704', 'Q925211', 'Q1886056', 'Q23505', 'Q9588', 'Q1630448', 'Q16002101', 'Q880290', 'Q609090', 'Q15257', 'Q363817', 'Q9960', 'Q239928', 'Q6195639', 'Q5460780', 'Q885091', 'Q705697', 'Q323511', 'Q1840588', 'Q455401', 'Q313776', 'Q237918', 'Q22316', 'Q504029', 'Q47216', 'Q698907', 'Q48259', 'Q289257', 'Q1275851', 'Q1370968', 'Q593533', 'Q10390', 'Q76', 'Q217314', 'Q374762', 'Q5334860', 'Q772086', 'Q6279']",False,False,69.0,15.0
Q1124,Bill Clinton,President of the United States,United States,1946-08-19,,Democrat,male,"University College, Oxford",,https://en.wikipedia.org/wiki/Bill_Clinton,1977-01-03,2001-01-20,"['Q6294', 'Q23505', 'Q11124', 'Q319079', 'Q207', 'Q23685', 'Q550255', 'Q331742', 'Q1399368', 'Q237918', 'Q1701364', 'Q712035', 'Q9960', 'Q319099', 'Q465617', 'Q283884', 'Q152451', 'Q149127', 'Q19673', 'Q236421', 'Q368920', 'Q10390', 'Q946305', 'Q134549', 'Q381157', 'Q708241', 'Q6779939', 'Q167607', 'Q1606601', 'Q50608', 'Q298016', 'Q160157', 'Q182642', 'Q34060', 'Q76', 'Q881361', 'Q881301', 'Q4496', 'Q1269048', 'Q22222', 'Q22686', 'Q359888', 'Q6279', 'Q10853588', 'Q28935729', 'Q2434360', 'Q27986907', 'Q158813', 'Q720121', 'Q310586']",True,False,595.0,15.0
Q317521,Elon Musk,Senior Advisor to the President of the United States,Canada,1971-06-28,,Other,male,The Wharton School,,https://en.wikipedia.org/wiki/Elon_Musk,2002-01-01,2025-05-30,"['Q22686', 'Q357956', 'Q76', 'Q6294', 'Q6279', 'Q10853588', 'Q112577890', 'Q3105215', 'Q1352872', 'Q58323131']",True,False,60.0,5.0
Q13628723,Jared Kushner,Senior Advisor to the President of the United States,United States,1981-01-10,,Republican,male,Stern School of Business,,https://en.wikipedia.org/wiki/Jared_Kushner,2017-01-20,2021-01-21,"['Q239411', 'Q22686', 'Q1124', 'Q6294', 'Q76', 'Q10390', 'Q4496', 'Q16146870', 'Q24313', 'Q331401', 'Q63879', 'Q460281', 'Q27829251', 'Q715156', 'Q6834757', 'Q8059030', 'Q28113710', 'Q16730147', 'Q6131602', 'Q6232322', 'Q16204904', 'Q529344', 'Q640835']",True,False,40.0,2.0
Q23685,Jimmy Carter,President of the United States,United States,1924-10-01,2024-12-29,Democrat,male,United States Naval Academy,,https://en.wikipedia.org/wiki/Jimmy_Carter,1963-02-14,1981-01-20,"['Q9582', 'Q134549', 'Q9960', 'Q1631824', 'Q1332396', 'Q885384', 'Q888924', 'Q313776', 'Q959635', 'Q887146', 'Q331742', 'Q9588', 'Q49216', 'Q319079', 'Q184650', 'Q23505', 'Q6279', 'Q939880', 'Q880085', 'Q296661', 'Q503426', 'Q212979', 'Q827400', 'Q1335058', 'Q7151482', 'Q936548', 'Q1124', 'Q1365780', 'Q207', 'Q76', 'Q22686', 'Q319099', 'Q310586', 'Q19673', 'Q22316', 'Q6294', 'Q10390', 'Q4496', 'Q2036942', 'Q359442', 'Q10853588', 'Q5930275', 'Q190628', 'Q529372', 'Q6162170', 'Q179732']",True,False,281.0,15.0
Q298443,Rahm Emanuel,Senior Advisor to the President of the United States,United States,1959-11-29,,Democrat,male,Northwestern University,,https://en.wikipedia.org/wiki/Rahm_Emanuel,1993-01-20,2019-05-20,"['Q76', 'Q1124', 'Q151891', 'Q56486914', 'Q6279', 'Q712134', 'Q539814', 'Q283884', 'Q399055', 'Q337470', 'Q467891', 'Q1592517', 'Q461727', 'Q1077819', 'Q1289889', 'Q357832', 'Q48259', 'Q6294', 'Q6234276', 'Q22212', 'Q43144', 'Q13133', 'Q244631', 'Q1290431', 'Q289396', 'Q22686', 'Q16148386', 'Q50610', 'Q311211', 'Q295390', 'Q1370400', 'Q460291', 'Q1181350', 'Q7515694', 'Q6465272', 'Q317521', 'Q207', 'Q55223040', 'Q1282411', 'Q1368405', 'Q434706', 'Q3036410']",True,True,70.0,22.0
Q1290431,Pete Rouse,Senior Advisor to the President of the United States,United States,1946-04-15,,Democrat,male,London School of Economics and Political Science,,https://en.wikipedia.org/wiki/Pete_Rouse,2009-01-20,2014-01-01,"['Q76', 'Q443640', 'Q298443', 'Q1370400', 'Q1366620', 'Q356475', 'Q314459', 'Q134549', 'Q160157', 'Q259514', 'Q3440521']",False,False,10.0,22.0
Q1290476,John Podesta,Senior Advisor to the President of the United States,United States,1949-01-08,,Democrat,male,Georgetown University Law Center,,https://en.wikipedia.org/wiki/John_Podesta,1997-01-20,2025-01-20,"['Q1124', 'Q76', 'Q6294', 'Q6279', 'Q22316', 'Q380550', 'Q331742', 'Q22686']",False,False,13.0,15.0
Q27630513,Symone D. Sanders-Townsend,Office of the Vice President of the United States,United States,1989-12-10,,Democrat,female,Mercy High School,"Washington, D.C.",https://en.wikipedia.org/wiki/Symone_Sanders-Townsend,2021-01-20,2021-12-31,"['Q359442', 'Q6279', 'Q10853588', 'Q331838', 'Q6198411']",False,False,5.0,2.0
Q6279,Joe Biden,President of the United States,United States,1942-11-20,,Democrat,male,Garden City Collegiate,,https://en.wikipedia.org/wiki/Joe_Biden,1970-11-04,2025-01-20,"['Q76', 'Q10853588', 'Q22686', 'Q24313', 'Q48259', 'Q881892', 'Q9588', 'Q887153', 'Q1889152', 'Q1400609', 'Q23685', 'Q184267', 'Q313411', 'Q708241', 'Q1124', 'Q23505', 'Q10390', 'Q28591', 'Q310586', 'Q212648', 'Q6294', 'Q43144', 'Q1370400', 'Q203966', 'Q207', 'Q298443', 'Q355522', 'Q11107', 'Q314459', 'Q259514', 'Q7173106', 'Q22237', 'Q434706', 'Q607', 'Q529294', 'Q766866', 'Q9960', 'Q11124', 'Q538868', 'Q380900', 'Q1556541', 'Q45940', 'Q19880665', 'Q7821917', 'Q6131602', 'Q58323131']",True,False,731.0,5.0
Q239411,Ivanka Trump,Senior Advisor to the President of the United States,United States,1981-10-30,,Republican,female,Choate Rosemary Hall,,https://en.wikipedia.org/wiki/Ivanka_Trump,2017-03-29,2021-01-20,"['Q22686', 'Q13628723', 'Q2379645', 'Q6294', 'Q3278769', 'Q24851563', 'Q313297', 'Q723917', 'Q4964973', 'Q4496', 'Q1135767']",False,False,21.0,2.0
Q1655924,George Stephanopoulos,Senior Advisor to the President of the United States,United States,1961-02-10,,Democrat,male,Columbia University,,https://en.wikipedia.org/wiki/George_Stephanopoulos,1993-01-20,1996-12-10,"['Q1124', 'Q1282337', 'Q319099', 'Q1209677', 'Q434317', 'Q5661600', 'Q76', 'Q6294', 'Q4496', 'Q15257', 'Q155985', 'Q600393', 'Q22686']",False,True,29.0,15.0
Q1176154,David Plouffe,Senior Advisor to the President of the United States,United States,1967-05-27,,Democrat,male,St. Mark's High School,,https://en.wikipedia.org/wiki/David_Plouffe,2011-01-10,2013-01-25,"['Q76', 'Q10853588', 'Q465617', 'Q1701257', 'Q6294', 'Q43144', 'Q6279', 'Q1166592', 'Q298443', 'Q356929']",False,False,14.0,21.0
Q76,Barack Obama,President of the United States,United States,1961-08-04,,Democrat,male,Harvard University,,https://en.wikipedia.org/wiki/Barack_Obama,1997-01-08,2017-01-20,"['Q6294', 'Q6279', 'Q10390', 'Q43144', 'Q11107', 'Q4496', 'Q203966', 'Q207', 'Q48259', 'Q134549', 'Q4726048', 'Q887327', 'Q888599', 'Q519838', 'Q1344425', 'Q289396', 'Q457432', 'Q509093', 'Q344930', 'Q359888', 'Q1124', 'Q9960', 'Q259514', 'Q311211', 'Q201795', 'Q342586', 'Q28591', 'Q244631', 'Q22686', 'Q28935729', 'Q23505', 'Q23685']",True,True,840.0,22.0
Q380441,Scooter Libby,Chief of Staff to the Vice President of the United States,United States,1950-08-22,,Republican,male,Yale University,,https://en.wikipedia.org/wiki/Scooter_Libby,2001-01-01,2005-01-01,"['Q48259', 'Q207', 'Q22686', 'Q348163', 'Q319099', 'Q219861', 'Q9588', 'Q1630448', 'Q1124', 'Q47216', 'Q184650', 'Q966859', 'Q1400332', 'Q311269', 'Q314459', 'Q733585', 'Q1370968', 'Q311135', 'Q456924']",False,True,23.0,15.0
Q9960,Ronald Reagan,President of the United States,United States,1911-02-06,2004-06-05,Democrat,male,Eureka College,,https://en.wikipedia.org/wiki/Ronald_Reagan,1947-01-01,1989-01-20,"['Q9582', 'Q23685', 'Q49216', 'Q116462', 'Q9588', 'Q319129', 'Q5537899', 'Q724121', 'Q15525026', 'Q4933445', 'Q152451', 'Q66107', 'Q503426', 'Q928768', 'Q23505', 'Q319079', 'Q936548', 'Q1337643', 'Q325960', 'Q346685', 'Q349785', 'Q193635', 'Q11171', 'Q311562', 'Q162622', 'Q983721', 'Q348163', 'Q6279', 'Q207', 'Q1124', 'Q456216']",True,False,468.0,15.0
Q42770663,Keisha Lance Bottoms,Senior Advisor to the President of the United States,United States,1970-01-18,,Democrat,female,Florida A&M University,,https://en.wikipedia.org/wiki/Keisha_Lance_Bottoms,2018-01-02,2023-04-01,"['Q6279', 'Q22686', 'Q4964973', 'Q7909083', 'Q10853588', 'Q434706', 'Q561284', 'Q7609638']",False,False,11.0,5.0
Q86419354,Alyssa Farah Griffin,Office of the Vice President of the United States,United States,1989-06-15,,Republican,female,Patrick Henry College,"Washington, D.C.",https://en.wikipedia.org/wiki/Alyssa_Farah_Griffin,2017-10-01,2020-12-04,"['Q24313', 'Q22686', 'Q535887', 'Q3956796', 'Q186215', 'Q4496', 'Q10853588']",False,False,8.0,2.0
Q10853588,Kamala Harris,Vice President of the United States,United States,1964-10-20,,Democrat,female,"University of California College of the Law, San Francisco",,https://en.wikipedia.org/wiki/Kamala_Harris,1990-01-01,2025-01-20,"['Q6279', 'Q22686', 'Q4962244', 'Q24313', 'Q2434360', 'Q28935729', 'Q5365075', 'Q230733', 'Q237560', 'Q170581', 'Q469094', 'Q76', 'Q358443', 'Q6232322', 'Q4898286', 'Q460281', 'Q167607', 'Q10390', 'Q331278', 'Q319084', 'Q50597', 'Q529351', 'Q22260', 'Q715156', 'Q723917', 'Q16476', 'Q7595813', 'Q4757092', 'Q22222', 'Q324546', 'Q22212', 'Q463557', 'Q45940', 'Q22360', 'Q4717593', 'Q359442', 'Q32620', 'Q1289889', 'Q7909083', 'Q434706', 'Q42770663', 'Q229141', 'Q43144', 'Q11107', 'Q84146599', 'Q28839536', 'Q16730147', 'Q23685', 'Q1124', 'Q6294', 'Q13133', 'Q22316', 'Q23505', 'Q101428652', 'Q100742942', 'Q5386557']",True,False,224.0,2.0
